project_id,country,region,customer_utility_company,application,system_power_mw,storage_capacity_mwh,battery_manufacturer_id,cod,unit_price_usd_per_kwh
ESS_041,USA,North America,Terra-Gen,Renewable Integration,69.9,279.6,LGES,2027-03-01,76.61
ESS_042,South Korea,Asia-Pacific,KEPCO,Peak Shaving,92.4,184.8,LGES,2025-03-01,93.0
ESS_043,South Korea,Asia-Pacific,AES Corporation,Renewable Integration,143.4,286.8,LGES,2026-11-01,88.59
ESS_044,USA,North America,Enel Green Power,Renewable Integration,111.7,223.4,CATL,2025-12-01,74.97
ESS_045,China,Asia-Pacific,KEPCO,Frequency Regulation,65.8,131.6,CATL,2021-05-01,103.7
ESS_046,UK,Europe,Terra-Gen,Peak Shaving,63.9,255.6,LGES,2024-05-01,105.24
ESS_047,USA,North America,Vistra Energy,Frequency Regulation,37.0,74.0,LGES,2024-01-01,107.96
ESS_048,South Korea,Asia-Pacific,NextEra Energy,Renewable Integration,77.4,309.6,LGES,2026-09-01,85.87
ESS_049,South Korea,Asia-Pacific,Vistra Energy,Frequency Regulation,42.1,168.4,LGES,2025-07-01,100.12
ESS_050,USA,North America,Duke Energy,Peak Shaving,53.5,107.0,LGES,2024-05-01,112.16
ESS_051,USA,North America,AES Corporation,Peak Shaving,67.6,270.4,LGES,2023-02-01,124.11
ESS_052,South Korea,Asia-Pacific,Florida Power & Light,Frequency Regulation,52.9,211.6,LGES,2026-09-01,85.56
ESS_053,South Korea,Asia-Pacific,KEPCO,Peak Shaving,87.6,350.4,LGES,2021-03-01,134.94
ESS_054,USA,North America,Florida Power & Light,Frequency Regulation,83.4,333.6,LGES,2026-05-01,84.62
ESS_055,USA,North America,Neoen,Frequency Regulation,45.2,90.4,BYD,2024-02-01,77.64
ESS_056,UK,Europe,Neoen,Renewable Integration,107.0,428.0,LGES,2026-09-01,83.34
ESS_057,UK,Europe,Southern California Edison,Peak Shaving,71.5,143.0,LGES,2026-03-01,84.35
ESS_058,Australia,Asia-Pacific,Florida Power & Light,Peak Shaving,12.9,25.8,CATL,2026-12-01,62.3
ESS_059,UK,Europe,Neoen,Peak Shaving,17.6,70.4,LGES,2023-10-01,129.46
ESS_060,USA,North America,Vistra Energy,Renewable Integration,112.6,450.4,LGES,2023-02-01,129.8
ESS_061,Australia,Asia-Pacific,Southern California Edison,Renewable Integration,97.2,388.8,SAMSUNG_SDI,2021-06-01,132.83
ESS_062,UK,Europe,AES Corporation,Peak Shaving,53.2,212.8,LGES,2025-12-01,97.94
ESS_063,USA,North America,Terra-Gen,Frequency Regulation,142.7,285.4,LGES,2025-06-01,98.21
ESS_064,UK,Europe,Southern California Edison,Peak Shaving,49.2,98.4,LGES,2024-08-01,111.28
ESS_065,UK,Europe,Duke Energy,Frequency Regulation,18.3,36.6,LGES,2021-04-01,132.13
ESS_066,Australia,Asia-Pacific,Southern California Edison,Frequency Regulation,47.7,190.8,SAMSUNG_SDI,2021-07-01,138.96
ESS_067,Australia,Asia-Pacific,Florida Power & Light,Renewable Integration,78.2,156.4,SAMSUNG_SDI,2025-08-01,100.1
ESS_068,Australia,Asia-Pacific,Duke Energy,Frequency Regulation,147.9,591.6,CATL,2024-02-01,82.82
ESS_069,USA,North America,Terra-Gen,Renewable Integration,105.3,421.2,LGES,2025-05-01,92.59
ESS_070,USA,North America,Terra-Gen,Renewable Integration,19.5,39.0,LGES,2021-06-01,140.12
ESS_071,USA,North America,Terra-Gen,Renewable Integration,119.9,239.8,LGES,2025-04-01,90.91
ESS_072,China,Asia-Pacific,Southern California Edison,Peak Shaving,37.3,149.2,CATL,2025-10-01,70.85
ESS_073,UK,Europe,Terra-Gen,Peak Shaving,90.5,181.0,LGES,2021-02-01,134.91
ESS_074,USA,North America,NextEra Energy,Frequency Regulation,40.4,80.8,LGES,2021-11-01,142.33
ESS_075,South Korea,Asia-Pacific,Terra-Gen,Frequency Regulation,63.4,126.8,LGES,2024-02-01,103.85
ESS_076,UK,Europe,KEPCO,Renewable Integration,80.0,320.0,LGES,2026-06-01,84.06
ESS_077,China,Asia-Pacific,PG&E,Frequency Regulation,46.9,93.8,CATL,2027-01-01,56.26
ESS_078,USA,North America,KEPCO,Peak Shaving,32.2,128.8,LGES,2023-11-01,133.72
ESS_079,UK,Europe,Southern California Edison,Renewable Integration,33.5,67.0,LGES,2022-07-01,139.82
ESS_080,USA,North America,Southern California Edison,Peak Shaving,63.9,255.6,LGES,2023-03-01,129.19
ESS_081,Australia,Asia-Pacific,Southern California Edison,Peak Shaving,32.5,65.0,SAMSUNG_SDI,2027-08-01,73.02
ESS_082,Australia,Asia-Pacific,Fluence,Frequency Regulation,16.2,64.8,SAMSUNG_SDI,2021-03-01,142.13
ESS_083,USA,North America,Fluence,Frequency Regulation,103.8,207.6,LGES,2021-05-01,136.13
ESS_084,UK,Europe,Florida Power & Light,Peak Shaving,45.6,182.4,LGES,2023-07-01,133.91
ESS_085,Australia,Asia-Pacific,Vistra Energy,Renewable Integration,29.4,58.8,SAMSUNG_SDI,2026-04-01,79.38
ESS_086,Australia,Asia-Pacific,AES Corporation,Frequency Regulation,144.3,577.2,SAMSUNG_SDI,2025-04-01,95.7
ESS_087,USA,North America,AES Corporation,Frequency Regulation,40.1,160.4,LGES,2023-09-01,123.71
ESS_088,UK,Europe,Terra-Gen,Peak Shaving,75.5,151.0,LGES,2027-07-01,74.19
ESS_089,South Korea,Asia-Pacific,NextEra Energy,Frequency Regulation,126.5,253.0,LGES,2021-11-01,141.06
ESS_090,UK,Europe,Neoen,Peak Shaving,144.5,578.0,LGES,2024-09-01,102.84
ESS_091,USA,North America,Neoen,Peak Shaving,60.0,120.0,LGES,2021-06-01,139.58
ESS_092,Australia,Asia-Pacific,Florida Power & Light,Peak Shaving,97.3,389.2,SAMSUNG_SDI,2022-06-01,144.26
ESS_093,USA,North America,Florida Power & Light,Renewable Integration,118.4,473.6,BYD,2021-03-01,106.59
ESS_094,USA,North America,KEPCO,Renewable Integration,48.5,194.0,LGES,2026-03-01,84.89
ESS_095,China,Asia-Pacific,PG&E,Renewable Integration,45.1,90.2,CATL,2022-02-01,106.3
ESS_096,USA,North America,AES Corporation,Frequency Regulation,120.0,480.0,LGES,2023-09-01,129.03
ESS_097,USA,North America,NextEra Energy,Frequency Regulation,91.8,367.2,BYD,2021-05-01,108.89
ESS_098,South Korea,Asia-Pacific,AES Corporation,Frequency Regulation,136.0,272.0,LGES,2021-04-01,143.49
ESS_099,USA,North America,Vistra Energy,Frequency Regulation,107.6,215.2,BYD,2024-05-01,78.16
ESS_100,South Korea,Asia-Pacific,Duke Energy,Peak Shaving,47.6,95.2,LGES,2024-02-01,113.07
ESS_101,USA,North America,Southern California Edison,Frequency Regulation,135.6,542.4,BYD,2026-03-01,59.61
ESS_102,USA,North America,PG&E,Renewable Integration,106.9,213.8,LGES,2024-05-01,110.15
ESS_103,South Korea,Asia-Pacific,Duke Energy,Frequency Regulation,16.6,66.4,LGES,2021-12-01,143.12
ESS_104,Australia,Asia-Pacific,NextEra Energy,Renewable Integration,81.0,324.0,SAMSUNG_SDI,2026-07-01,85.45
ESS_105,South Korea,Asia-Pacific,Vistra Energy,Peak Shaving,92.6,370.4,LGES,2027-12-01,79.68
ESS_106,South Korea,Asia-Pacific,Florida Power & Light,Frequency Regulation,104.0,208.0,LGES,2023-01-01,136.89
ESS_107,South Korea,Asia-Pacific,Fluence,Peak Shaving,9.5,19.0,LGES,2027-11-01,78.29
ESS_108,USA,North America,Fluence,Peak Shaving,134.4,537.6,LGES,2022-06-01,137.83
ESS_109,USA,North America,Enel Green Power,Frequency Regulation,83.6,334.4,LGES,2026-01-01,86.89
ESS_110,Australia,Asia-Pacific,Southern California Edison,Frequency Regulation,37.9,151.6,SAMSUNG_SDI,2022-07-01,138.52
ESS_111,China,Asia-Pacific,Enel Green Power,Frequency Regulation,75.9,303.6,CATL,2025-02-01,71.09
ESS_112,Germany,Europe,Terra-Gen,Peak Shaving,134.5,538.0,SAMSUNG_SDI,2023-10-01,123.21
ESS_113,USA,North America,KEPCO,Renewable Integration,42.2,84.4,LGES,2027-06-01,79.39
ESS_114,South Korea,Asia-Pacific,Fluence,Frequency Regulation,36.6,146.4,LGES,2022-09-01,148.9
ESS_115,UK,Europe,Florida Power & Light,Renewable Integration,88.2,352.8,LGES,2022-12-01,151.87
ESS_116,USA,North America,Neoen,Frequency Regulation,26.8,53.6,LGES,2023-03-01,128.8
ESS_117,South Korea,Asia-Pacific,Neoen,Peak Shaving,74.2,148.4,LGES,2027-06-01,73.78
ESS_118,UK,Europe,AES Corporation,Peak Shaving,67.2,134.4,LGES,2026-01-01,86.36
ESS_119,Germany,Europe,AES Corporation,Peak Shaving,126.1,252.2,SAMSUNG_SDI,2027-11-01,78.38
ESS_120,USA,North America,Duke Energy,Peak Shaving,148.5,297.0,LGES,2021-11-01,138.67
ESS_121,UK,Europe,Vistra Energy,Peak Shaving,31.0,124.0,LGES,2027-07-01,79.43
ESS_122,USA,North America,PG&E,Renewable Integration,122.1,244.2,LGES,2021-05-01,140.82
ESS_123,USA,North America,Fluence,Frequency Regulation,113.3,226.6,LGES,2024-04-01,110.13
ESS_124,USA,North America,Duke Energy,Renewable Integration,12.6,25.2,LGES,2023-04-01,137.47
ESS_125,USA,North America,PG&E,Renewable Integration,130.9,261.8,LGES,2024-04-01,111.78
ESS_126,UK,Europe,Fluence,Peak Shaving,19.3,77.2,LGES,2024-09-01,110.53
ESS_127,Australia,Asia-Pacific,AES Corporation,Renewable Integration,87.8,351.2,SAMSUNG_SDI,2027-03-01,78.51
ESS_128,Australia,Asia-Pacific,Enel Green Power,Renewable Integration,34.6,69.2,SAMSUNG_SDI,2026-06-01,79.89
ESS_129,South Korea,Asia-Pacific,Southern California Edison,Renewable Integration,75.0,300.0,LGES,2022-11-01,135.97
ESS_130,Australia,Asia-Pacific,Enel Green Power,Renewable Integration,127.0,254.0,CATL,2026-07-01,63.92
ESS_131,USA,North America,PG&E,Peak Shaving,107.6,215.2,LGES,2027-03-01,75.95
ESS_132,UK,Europe,Neoen,Renewable Integration,21.6,86.4,LGES,2025-02-01,92.49
ESS_133,USA,North America,Terra-Gen,Peak Shaving,51.1,102.2,BYD,2021-08-01,99.97
ESS_134,UK,Europe,AES Corporation,Peak Shaving,51.8,207.2,LGES,2023-03-01,135.66
ESS_135,USA,North America,Fluence,Peak Shaving,115.5,231.0,LGES,2027-10-01,73.86
ESS_136,USA,North America,Southern California Edison,Peak Shaving,138.4,553.6,CATL,2022-04-01,109.91
ESS_137,South Korea,Asia-Pacific,Vistra Energy,Frequency Regulation,137.9,551.6,LGES,2025-05-01,100.36
ESS_138,UK,Europe,PG&E,Frequency Regulation,50.3,100.6,LGES,2021-04-01,136.35
ESS_139,UK,Europe,KEPCO,Peak Shaving,99.1,396.4,LGES,2022-05-01,151.7
ESS_140,China,Asia-Pacific,Duke Energy,Peak Shaving,107.6,430.4,CATL,2023-05-01,100.17
ESS_141,USA,North America,Florida Power & Light,Renewable Integration,84.1,168.2,BYD,2024-10-01,81.39
ESS_142,USA,North America,Vistra Energy,Renewable Integration,115.1,230.2,LGES,2026-02-01,81.15
ESS_143,USA,North America,Enel Green Power,Frequency Regulation,34.7,138.8,BYD,2025-11-01,73.0
ESS_144,South Korea,Asia-Pacific,Florida Power & Light,Frequency Regulation,55.1,220.4,LGES,2024-03-01,113.37
ESS_145,USA,North America,Fluence,Frequency Regulation,113.6,227.2,BYD,2024-09-01,80.18
ESS_146,South Korea,Asia-Pacific,Fluence,Frequency Regulation,53.2,212.8,LGES,2021-12-01,143.92
ESS_147,South Korea,Asia-Pacific,Enel Green Power,Peak Shaving,58.0,232.0,LGES,2024-01-01,108.28
ESS_148,USA,North America,Neoen,Renewable Integration,111.2,444.8,BYD,2027-10-01,60.36
ESS_149,South Korea,Asia-Pacific,Vistra Energy,Peak Shaving,123.3,493.2,LGES,2025-03-01,91.58
ESS_150,USA,North America,Duke Energy,Peak Shaving,147.0,588.0,BYD,2023-10-01,91.85
ESS_151,USA,North America,KEPCO,Renewable Integration,128.0,256.0,LGES,2026-04-01,84.86
ESS_152,UK,Europe,Duke Energy,Peak Shaving,38.2,76.4,LGES,2026-05-01,84.17
ESS_153,UK,Europe,Fluence,Peak Shaving,6.2,12.4,LGES,2022-11-01,140.21
ESS_154,UK,Europe,AES Corporation,Renewable Integration,75.0,150.0,LGES,2024-10-01,108.63
ESS_155,USA,North America,Neoen,Frequency Regulation,39.8,159.2,LGES,2025-04-01,94.75
ESS_156,Germany,Europe,Florida Power & Light,Renewable Integration,148.2,592.8,SAMSUNG_SDI,2026-09-01,87.48
ESS_157,USA,North America,Neoen,Peak Shaving,141.4,565.6,LGES,2025-02-01,95.44
ESS_158,USA,North America,Enel Green Power,Frequency Regulation,69.8,279.2,BYD,2026-06-01,65.38
ESS_159,Australia,Asia-Pacific,Enel Green Power,Frequency Regulation,114.5,229.0,SAMSUNG_SDI,2025-05-01,91.38
ESS_160,UK,Europe,PG&E,Peak Shaving,105.3,421.2,LGES,2024-08-01,113.29
ESS_161,Australia,Asia-Pacific,Neoen,Peak Shaving,19.2,76.8,CATL,2025-10-01,70.75
ESS_162,USA,North America,NextEra Energy,Renewable Integration,118.8,475.2,LGES,2024-05-01,105.16
ESS_163,USA,North America,PG&E,Renewable Integration,70.6,282.4,LGES,2026-03-01,80.91
ESS_164,China,Asia-Pacific,Florida Power & Light,Renewable Integration,143.9,287.8,CATL,2022-11-01,101.94
ESS_165,Australia,Asia-Pacific,PG&E,Frequency Regulation,89.4,178.8,SAMSUNG_SDI,2023-10-01,133.18
ESS_166,UK,Europe,Enel Green Power,Renewable Integration,84.4,168.8,LGES,2025-06-01,93.78
ESS_167,UK,Europe,AES Corporation,Renewable Integration,21.2,42.4,LGES,2026-02-01,84.69
ESS_168,UK,Europe,Fluence,Renewable Integration,92.0,184.0,LGES,2023-02-01,134.37
ESS_169,Australia,Asia-Pacific,Southern California Edison,Peak Shaving,83.8,167.6,SAMSUNG_SDI,2022-04-01,135.78
ESS_170,Australia,Asia-Pacific,Vistra Energy,Renewable Integration,46.7,93.4,SAMSUNG_SDI,2024-11-01,104.03
ESS_171,Australia,Asia-Pacific,Florida Power & Light,Frequency Regulation,131.3,525.2,SAMSUNG_SDI,2025-07-01,97.55
ESS_172,USA,North America,Vistra Energy,Peak Shaving,28.1,112.4,BYD,2021-07-01,108.47
ESS_173,UK,Europe,Terra-Gen,Renewable Integration,66.8,267.2,LGES,2024-07-01,103.24
ESS_174,USA,North America,Florida Power & Light,Peak Shaving,7.7,15.4,LGES,2024-05-01,113.88
ESS_175,USA,North America,KEPCO,Frequency Regulation,136.9,273.8,BYD,2024-11-01,79.93
ESS_176,USA,North America,Enel Green Power,Renewable Integration,84.3,168.6,CATL,2021-06-01,107.45
ESS_177,USA,North America,Duke Energy,Frequency Regulation,146.9,587.6,LGES,2024-04-01,102.7
ESS_178,Germany,Europe,NextEra Energy,Peak Shaving,134.7,538.8,SAMSUNG_SDI,2024-07-01,114.88
ESS_179,South Korea,Asia-Pacific,AES Corporation,Frequency Regulation,140.4,561.6,LGES,2026-06-01,86.14
ESS_180,South Korea,Asia-Pacific,NextEra Energy,Renewable Integration,96.8,193.6,LGES,2027-07-01,81.38
ESS_181,USA,North America,Vistra Energy,Peak Shaving,83.6,167.2,LGES,2021-06-01,134.13
ESS_182,USA,North America,Fluence,Peak Shaving,79.7,318.8,LGES,2024-07-01,103.32
ESS_183,South Korea,Asia-Pacific,Vistra Energy,Peak Shaving,123.1,246.2,LGES,2026-04-01,86.06
ESS_184,Australia,Asia-Pacific,AES Corporation,Renewable Integration,139.7,279.4,SAMSUNG_SDI,2024-02-01,114.59
ESS_185,China,Asia-Pacific,Neoen,Frequency Regulation,125.0,250.0,CATL,2027-02-01,56.91
ESS_186,UK,Europe,Southern California Edison,Frequency Regulation,102.9,411.6,LGES,2022-07-01,146.49
ESS_187,UK,Europe,Southern California Edison,Frequency Regulation,59.1,118.2,LGES,2022-05-01,151.79
ESS_188,South Korea,Asia-Pacific,Southern California Edison,Peak Shaving,80.9,323.6,LGES,2025-04-01,90.68
ESS_189,USA,North America,Enel Green Power,Renewable Integration,76.0,152.0,LGES,2025-05-01,98.71
ESS_190,South Korea,Asia-Pacific,AES Corporation,Frequency Regulation,57.7,115.4,LGES,2026-11-01,84.82
ESS_191,South Korea,Asia-Pacific,Florida Power & Light,Peak Shaving,84.8,169.6,LGES,2023-02-01,134.81
ESS_192,USA,North America,Enel Green Power,Renewable Integration,33.9,135.6,LGES,2023-12-01,132.6
ESS_193,UK,Europe,NextEra Energy,Frequency Regulation,14.7,58.8,LGES,2022-10-01,136.01
ESS_194,USA,North America,NextEra Energy,Frequency Regulation,132.1,528.4,BYD,2025-01-01,68.63
ESS_195,USA,North America,NextEra Energy,Renewable Integration,39.5,158.0,BYD,2022-06-01,103.53
ESS_196,UK,Europe,Duke Energy,Renewable Integration,79.1,158.2,LGES,2022-08-01,139.33
ESS_197,UK,Europe,Fluence,Frequency Regulation,17.5,70.0,LGES,2023-03-01,127.83
ESS_198,UK,Europe,Neoen,Peak Shaving,7.5,15.0,LGES,2022-03-01,150.66
ESS_199,South Korea,Asia-Pacific,KEPCO,Frequency Regulation,78.1,156.2,LGES,2022-06-01,137.38
ESS_200,USA,North America,Florida Power & Light,Frequency Regulation,23.0,92.0,LGES,2025-09-01,94.92
ESS_201,UK,Europe,AES Corporation,Peak Shaving,28.7,57.4,LGES,2022-07-01,136.09
ESS_202,South Korea,Asia-Pacific,Neoen,Frequency Regulation,118.7,237.4,LGES,2027-09-01,73.75
ESS_203,UK,Europe,KEPCO,Frequency Regulation,115.3,461.2,LGES,2026-07-01,79.52
ESS_204,USA,North America,Neoen,Peak Shaving,147.3,589.2,LGES,2027-04-01,75.44
ESS_205,USA,North America,Duke Energy,Frequency Regulation,144.9,579.6,BYD,2022-08-01,104.34
ESS_206,South Korea,Asia-Pacific,KEPCO,Peak Shaving,107.3,214.6,LGES,2024-04-01,109.47
ESS_207,USA,North America,Neoen,Frequency Regulation,44.8,179.2,LGES,2025-04-01,95.61
ESS_208,South Korea,Asia-Pacific,Vistra Energy,Frequency Regulation,115.2,230.4,LGES,2021-04-01,139.24
ESS_209,USA,North America,Florida Power & Light,Peak Shaving,103.5,414.0,LGES,2022-03-01,136.12
ESS_210,UK,Europe,KEPCO,Renewable Integration,120.6,482.4,LGES,2024-05-01,107.48
ESS_211,Australia,Asia-Pacific,Enel Green Power,Peak Shaving,8.0,32.0,CATL,2027-04-01,58.88
ESS_212,UK,Europe,Terra-Gen,Renewable Integration,142.8,285.6,LGES,2024-06-01,115.52
ESS_213,China,Asia-Pacific,PG&E,Renewable Integration,120.8,483.2,CATL,2022-12-01,108.49
ESS_214,China,Asia-Pacific,Florida Power & Light,Peak Shaving,106.9,213.8,CATL,2024-03-01,78.47
ESS_215,UK,Europe,NextEra Energy,Peak Shaving,107.9,215.8,LGES,2024-07-01,108.51
ESS_216,USA,North America,AES Corporation,Peak Shaving,133.4,266.8,LGES,2024-03-01,109.23
ESS_217,UK,Europe,NextEra Energy,Peak Shaving,41.6,83.2,LGES,2026-02-01,84.91
ESS_218,South Korea,Asia-Pacific,AES Corporation,Frequency Regulation,44.1,176.4,LGES,2027-06-01,73.65
ESS_219,Australia,Asia-Pacific,KEPCO,Frequency Regulation,15.3,30.6,SAMSUNG_SDI,2022-05-01,136.56
ESS_220,UK,Europe,Terra-Gen,Peak Shaving,73.5,294.0,LGES,2022-05-01,141.33
ESS_221,USA,North America,NextEra Energy,Frequency Regulation,87.0,174.0,LGES,2023-05-01,127.51
ESS_222,USA,North America,Florida Power & Light,Frequency Regulation,143.8,287.6,BYD,2022-12-01,105.01
ESS_223,South Korea,Asia-Pacific,PG&E,Renewable Integration,97.5,195.0,LGES,2024-04-01,106.16
ESS_224,USA,North America,Vistra Energy,Frequency Regulation,133.5,267.0,LGES,2021-09-01,138.28
ESS_225,South Korea,Asia-Pacific,NextEra Energy,Frequency Regulation,51.1,204.4,LGES,2027-07-01,73.58
ESS_226,Germany,Europe,Fluence,Frequency Regulation,80.2,160.4,SAMSUNG_SDI,2023-05-01,127.48
ESS_227,UK,Europe,KEPCO,Renewable Integration,110.3,441.2,LGES,2023-12-01,122.8
ESS_228,UK,Europe,AES Corporation,Frequency Regulation,45.0,90.0,LGES,2027-08-01,75.68
ESS_229,South Korea,Asia-Pacific,Florida Power & Light,Peak Shaving,81.1,162.2,LGES,2021-11-01,145.65
ESS_230,South Korea,Asia-Pacific,Neoen,Peak Shaving,135.0,270.0,LGES,2024-04-01,111.59
ESS_231,USA,North America,Duke Energy,Renewable Integration,9.2,18.4,LGES,2027-02-01,75.38
ESS_232,USA,North America,NextEra Energy,Peak Shaving,117.6,470.4,LGES,2025-05-01,97.9
ESS_233,South Korea,Asia-Pacific,Fluence,Peak Shaving,101.5,203.0,LGES,2022-08-01,149.07
ESS_234,South Korea,Asia-Pacific,Southern California Edison,Renewable Integration,97.1,194.2,LGES,2021-07-01,140.09
ESS_235,Australia,Asia-Pacific,Neoen,Frequency Regulation,49.4,98.8,SAMSUNG_SDI,2027-04-01,74.75
ESS_236,USA,North America,Fluence,Renewable Integration,142.5,285.0,BYD,2026-10-01,65.39
ESS_237,Australia,Asia-Pacific,AES Corporation,Renewable Integration,16.7,33.4,SAMSUNG_SDI,2023-12-01,130.73
ESS_238,USA,North America,Florida Power & Light,Peak Shaving,133.3,266.6,LGES,2026-12-01,80.29
ESS_239,Australia,Asia-Pacific,Duke Energy,Renewable Integration,18.6,37.2,SAMSUNG_SDI,2021-06-01,141.06
ESS_240,UK,Europe,Terra-Gen,Renewable Integration,46.5,186.0,LGES,2027-07-01,76.3
ESS_241,UK,Europe,Fluence,Peak Shaving,77.2,308.8,LGES,2023-04-01,124.7
ESS_242,Australia,Asia-Pacific,PG&E,Peak Shaving,148.1,592.4,CATL,2024-05-01,79.33
ESS_243,South Korea,Asia-Pacific,Enel Green Power,Frequency Regulation,9.7,38.8,LGES,2024-12-01,108.31
ESS_244,USA,North America,KEPCO,Renewable Integration,16.8,67.2,LGES,2026-02-01,85.98
ESS_245,USA,North America,Florida Power & Light,Peak Shaving,129.0,258.0,LGES,2026-01-01,79.56
ESS_246,Australia,Asia-Pacific,Terra-Gen,Frequency Regulation,98.4,393.6,SAMSUNG_SDI,2027-11-01,76.95
ESS_247,Germany,Europe,NextEra Energy,Peak Shaving,121.8,243.6,SAMSUNG_SDI,2027-12-01,77.63
ESS_248,South Korea,Asia-Pacific,Florida Power & Light,Renewable Integration,7.2,14.4,LGES,2024-05-01,114.77
ESS_249,Australia,Asia-Pacific,Vistra Energy,Peak Shaving,146.4,292.8,SAMSUNG_SDI,2024-03-01,106.64
ESS_250,UK,Europe,Southern California Edison,Frequency Regulation,71.7,286.8,LGES,2026-05-01,83.73
ESS_251,Australia,Asia-Pacific,Neoen,Frequency Regulation,18.0,72.0,SAMSUNG_SDI,2026-04-01,85.27
ESS_252,USA,North America,NextEra Energy,Renewable Integration,52.7,210.8,LGES,2026-05-01,79.69
ESS_253,South Korea,Asia-Pacific,Vistra Energy,Peak Shaving,124.9,499.6,LGES,2026-08-01,86.76
